epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.482,0.68413,1.28303,1.32302,0.00707,0.91071,0.17231,0.07103,1.4937,4.84482,2.71796,0.000554274,0.000554274,0.000554274
2,209.985,0.72173,0.91401,1.34982,0.12754,0.78571,0.68908,0.30837,1.79457,4.68987,3.36804,0.00108796,0.00108796,0.00108796
3,311.264,0.71981,0.84933,1.34636,0.18908,0.80357,0.59008,0.237,1.81297,3.99902,3.07265,0.00159965,0.00159965,0.00159965
4,411.245,0.67842,0.78114,1.31533,0.49438,0.78571,0.75454,0.41004,1.75274,4.05799,3.07196,0.00156798,0.00156798,0.00156798
5,511.127,0.63739,0.73182,1.28489,0.17089,0.96429,0.72936,0.40494,1.54556,3.69714,2.72627,0.00153497,0.00153497,0.00153497
6,610.898,0.60315,0.69126,1.25992,0.60274,0.78571,0.78279,0.40972,1.58918,3.86545,2.57103,0.00150197,0.00150197,0.00150197
7,710.802,0.57416,0.65499,1.23641,0.3806,0.91071,0.78556,0.38661,1.53443,3.57662,2.69555,0.00146896,0.00146896,0.00146896
8,810.534,0.56126,0.63688,1.22414,0.37143,0.92857,0.58537,0.30514,1.54173,4.18736,2.76323,0.00143595,0.00143595,0.00143595
9,910.396,0.52814,0.61466,1.19718,0.4359,0.91071,0.76385,0.40806,1.56051,4.02933,2.83524,0.00140295,0.00140295,0.00140295
10,1009.84,0.53033,0.60882,1.19791,0.54945,0.89286,0.82088,0.43657,1.58853,3.94615,2.66998,0.00136994,0.00136994,0.00136994
11,1109.74,0.50726,0.58325,1.18026,0.24121,0.85714,0.5274,0.32604,1.45529,3.98333,2.43618,0.00133693,0.00133693,0.00133693
12,1209.3,0.48899,0.56739,1.1671,0.45794,0.875,0.70574,0.46049,1.3255,3.79429,2.40555,0.00130393,0.00130393,0.00130393
13,1308.61,0.48195,0.55253,1.16271,0.59036,0.875,0.74716,0.43468,1.57926,4.2379,2.93501,0.00127092,0.00127092,0.00127092
14,1408.15,0.46685,0.53481,1.14879,0.40323,0.89286,0.76105,0.457,1.39748,3.78524,2.37487,0.00123791,0.00123791,0.00123791
15,1508.28,0.46497,0.53183,1.14374,0.55435,0.91071,0.7713,0.40976,1.548,4.15624,2.94421,0.00120491,0.00120491,0.00120491
16,1608.31,0.45411,0.52228,1.14035,0.55208,0.94643,0.78228,0.4949,1.26676,3.68409,2.17381,0.0011719,0.0011719,0.0011719
